"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.758188208E0,-2.244263077E1,-5.104228973E0,-4.971572495E1,5.478483491E1
1.768236208E0,-2.229632568E1,-5.105599403E0,-4.977529526E1,5.477931455E1
1.778283208E0,-2.225521088E1,-4.807524681E0,-4.976227188E1,5.472376456E1
1.788330208E0,-2.236236191E1,-4.502820015E0,-4.978948975E1,5.476626614E1
1.798378208E0,-2.227809906E1,-4.231650352E0,-4.984340286E1,5.475934049E1
1.808425208E0,-2.229866409E1,-3.987065315E0,-4.989064026E1,5.479236348E1
1.818472208E0,-2.234585571E1,-4.058216095E0,-4.998345566E1,5.490129529E1
1.828519208E0,-2.218493652E1,-3.874129295E0,-4.989335632E1,5.474054523E1
1.838567208E0,-2.221856308E1,-3.601495743E0,-4.980342865E1,5.465360759E1
1.848614208E0,-2.206775665E1,-3.735988617E0,-5.007868958E1,5.485269952E1
1.858661208E0,-2.203554535E1,-3.569733620E0,-4.999884796E1,5.475575819E1
1.868709208E0,-2.193737793E1,-3.182524681E0,-5.016160965E1,5.484126272E1
1.878756208E0,-2.193334579E1,-3.098922729E0,-5.052781296E1,5.517005403E1
1.888803208E0,-2.198759460E1,-2.726330757E0,-5.043072510E1,5.508307571E1
1.898850208E0,-2.184916306E1,-2.445173264E0,-5.025500870E1,5.485372091E1
1.908898208E0,-2.171406555E1,-2.350132942E0,-5.026660538E1,5.480652684E1
1.918945208E0,-2.155670547E1,-2.335603714E0,-5.024899292E1,5.472757883E1
1.928992208E0,-2.151990891E1,-2.194603920E0,-5.044042206E1,5.488313897E1
1.939040208E0,-2.133224869E1,-2.145031929E0,-5.050658798E1,5.486876548E1
1.949087208E0,-2.139030457E1,-1.778532982E0,-5.059070587E1,5.495568969E1
1.959134208E0,-2.127315903E1,-1.573589325E0,-5.055297089E1,5.486917480E1
1.969182208E0,-2.110659027E1,-1.562592506E0,-5.050757217E1,5.476262133E1
1.979229208E0,-2.106362534E1,-1.382241249E0,-5.049946594E1,5.473374611E1
1.989276208E0,-2.094334030E1,-1.358343124E0,-5.046672440E1,5.465673673E1
1.999323208E0,-2.105364227E1,-1.016137123E0,-5.077251816E1,5.497396645E1
2.009371208E0,-2.103641510E1,-9.837360382E-1,-5.076179886E1,5.495688055E1
